"","month","mean","r","sd","var"
"1",1,6.498,3.62,1.21658890814793,1.48008857142857
"2",1,6.498,8.41,1.21658890814793,1.48008857142857
"3",2,6.06642857142857,4.08,0.956007183785632,0.913949735449736
"4",2,6.06642857142857,7.98,0.956007183785632,0.913949735449736
"5",3,6.41891891891892,4.14,1.03096444540425,1.06288768768769
"6",3,6.41891891891892,8.44,1.03096444540425,1.06288768768769
"7",4,6.16875,4.9,0.833314166446245,0.6944125
"8",4,6.16875,7.53,0.833314166446245,0.6944125
"9",5,193.5,133,41.8282201390401,1749.6
"10",5,193.5,289,41.8282201390401,1749.6
"11",6,218.367088607595,107,65.4141004981283,4279.00454397923
"12",6,218.367088607595,466,65.4141004981283,4279.00454397923
"13",7,199.615384615385,130,56.8646616413898,3233.58974358974
"14",7,199.615384615385,314,56.8646616413898,3233.58974358974
"15",8,174,174,NA,NA
"16",8,174,174,NA,NA
"17",11,6.106,5.21,0.706774362862717,0.49953
"18",11,6.106,7.16,0.706774362862717,0.49953
"19",12,6.18714285714286,5.27,0.624652870633929,0.390191208791209
"20",12,6.18714285714286,7.88,0.624652870633929,0.390191208791209
"21",NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA
